Start;31-1-1980;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
End;31-12-2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Frequency;M;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Name;ASTRAZENECA - TOT RETURN IND;ASTRAZENECA - NET SALES OR REVENUES;ASTRAZENECA - NUMBER OF SHARES;ASTRAZENECA - UNADJUSTED PRICE;ASTRAZENECA - MARKET VALUE;ASTRAZENECA - COST OF GOODS SOLD (EXCL DEP);ASTRAZENECA - TOTAL ASSETS;ASTRAZENECA - TOTAL INVENTORIES;#ERROR;KONINKLIJKE AHOLD DELHAIZE - TOT RETURN IND;KONINKLIJKE AHOLD DELHAIZE - NET SALES OR REVENUES;KONINKLIJKE AHOLD DELHAIZE - NUMBER OF SHARES;KONINKLIJKE AHOLD DELHAIZE - UNADJUSTED PRICE;KONINKLIJKE AHOLD DELHAIZE - MARKET VALUE;KONINKLIJKE AHOLD DELHAIZE - COST OF GOODS SOLD (EXCL DEP);KONINKLIJKE AHOLD DELHAIZE - TOTAL ASSETS;KONINKLIJKE AHOLD DELHAIZE - TOTAL INVENTORIES;#ERROR;ABN AMRO BANK - TOT RETURN IND;ABN AMRO BANK - NET SALES OR REVENUES;ABN AMRO BANK - NUMBER OF SHARES;ABN AMRO BANK - UNADJUSTED PRICE;ABN AMRO BANK - MARKET VALUE;#ERROR;ABN AMRO BANK - TOTAL ASSETS;#ERROR;ABN AMRO BANK - TOTAL INVESTMENTS;JUST EAT TAKEAWAY.COM - TOT RETURN IND;JUST EAT TAKEAWAY.COM - NET SALES OR REVENUES;JUST EAT TAKEAWAY.COM - NUMBER OF SHARES;JUST EAT TAKEAWAY.COM - UNADJUSTED PRICE;JUST EAT TAKEAWAY.COM - MARKET VALUE;JUST EAT TAKEAWAY.COM - COST OF GOODS SOLD (EXCL DEP);JUST EAT TAKEAWAY.COM - TOTAL ASSETS;JUST EAT TAKEAWAY.COM - TOTAL INVENTORIES;#ERROR;AAH DEAD - T/OVER 951741 - TOT RETURN IND;AAH DEAD - T/OVER 951741 - NET SALES OR REVENUES;AAH DEAD - T/OVER 951741 - NUMBER OF SHARES;AAH DEAD - T/OVER 951741 - UNADJUSTED PRICE;AAH DEAD - T/OVER 951741 - MARKET VALUE;AAH DEAD - T/OVER 951741 - COST OF GOODS SOLD (EXCL DEP);AAH DEAD - T/OVER 951741 - TOTAL ASSETS;AAH DEAD - T/OVER 951741 - TOTAL INVENTORIES;#ERROR;THB GROUP DEAD - 26/01/12 - TOT RETURN IND;THB GROUP DEAD - 26/01/12 - NET SALES OR REVENUES;THB GROUP DEAD - 26/01/12 - NUMBER OF SHARES;THB GROUP DEAD - 26/01/12 - UNADJUSTED PRICE;THB GROUP DEAD - 26/01/12 - MARKET VALUE;THB GROUP DEAD - 26/01/12 - COST OF GOODS SOLD (EXCL DEP);THB GROUP DEAD - 26/01/12 - TOTAL ASSETS;THB GROUP DEAD - 26/01/12 - TOTAL INVENTORIES;#ERROR
Code;AZN(RI);AZN(WC01001);AZN(NOSH);AZN(UP);AZN(MV);AZN(WC01051);AZN(WC02999);AZN(WC02101);;H:AD(RI);H:AD(WC01001);H:AD(NOSH);H:AD(UP);H:AD(MV);H:AD(WC01051);H:AD(WC02999);H:AD(WC02101);;H:ABN(RI);H:ABN(WC01001);H:ABN(NOSH);H:ABN(UP);H:ABN(MV);;H:ABN(WC02999);;H:ABN(WC02255);H:TKWY(RI);H:TKWY(WC01001);H:TKWY(NOSH);H:TKWY(UP);H:TKWY(MV);H:TKWY(WC01051);H:TKWY(WC02999);H:TKWY(WC02101);;901318(RI);901318(WC01001);901318(NOSH);901318(UP);901318(MV);901318(WC01051);901318(WC02999);901318(WC02101);;THB(RI);THB(WC01001);THB(NOSH);THB(UP);THB(MV);THB(WC01051);THB(WC02999);THB(WC02101);
CURRENCY;£;£;£;£;£;£;£;£;;E;E;E;E;E;E;E;E;;E;E;NA;NA;NA;;NA;;NA;E;E;E;E;E;E;E;E;;£;£;£;£;£;£;£;£;;£;£;£;£;£;£;£;£;
31-1-1980;NA;NA;NA;NA;NA;NA;NA;NA;$$ER: 4540,NO DATA VALUES FOUND;68.74;2641899;2455;36.7562;90.24;2571003;567239;184914;$$ER: 4540,NO DATA VALUES FOUND;NA;NA;NA;NA;NA;$$ER: 4540,NO DATA VALUES FOUND;NA;$$ER: 4540,NO DATA VALUES FOUND;NA;NA;NA;NA;NA;NA;NA;NA;NA;$$ER: 4540,NO DATA VALUES FOUND;942.07;336359;14124;120;16.95;NA;88292;22624;$$ER: 4540,NO DATA VALUES FOUND;NA;NA;NA;NA;NA;NA;NA;NA;$$ER: 4540,NO DATA VALUES FOUND
29-2-1980;NA;NA;NA;NA;NA;NA;NA;NA;;59.68;2641899;2455;31.7646;77.98;2571003;567239;184914;;NA;NA;NA;NA;NA;;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;;1011.45;336359;14124;128;18.08;NA;88292;22624;;NA;NA;NA;NA;NA;NA;NA;NA;
31-3-1980;NA;NA;NA;NA;NA;NA;NA;NA;;61.11;2641899;2455;32.3602;79.44;2571003;567239;184914;;NA;NA;NA;NA;NA;;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;;1034.11;336359;14124;130;18.36;NA;88292;22624;;NA;NA;NA;NA;NA;NA;NA;NA;
30-4-1980;NA;NA;NA;NA;NA;NA;NA;NA;;58.57;2641899;2455;30.857;75.75;2571003;567239;184914;;NA;NA;NA;NA;NA;;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;;1041.14;360274;14124;130;18.36;NA;96894;23180;;NA;NA;NA;NA;NA;NA;NA;NA;
30-5-1980;NA;NA;NA;NA;NA;NA;NA;NA;;58.55;2641899;2455;30.6727;75.3;2571003;567239;184914;;NA;NA;NA;NA;NA;;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;;1080.58;360274;14124;134;18.93;NA;96894;23180;;NA;NA;NA;NA;NA;NA;NA;NA;
30-6-1980;NA;NA;NA;NA;NA;NA;NA;NA;;54.26;2641899;2455;28.2762;69.42;2571003;567239;184914;;NA;NA;NA;NA;NA;;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;;1127.96;360274;14124;139;19.63;NA;96894;23180;;NA;NA;NA;NA;NA;NA;NA;NA;
31-7-1980;NA;NA;NA;NA;NA;NA;NA;NA;;64.31;2641899;2455;33.3103;81.78;2571003;567239;184914;;NA;NA;NA;NA;NA;;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;;1371.51;360274;14124;168;23.73;NA;96894;23180;;NA;NA;NA;NA;NA;NA;NA;NA;
29-8-1980;NA;NA;NA;NA;NA;NA;NA;NA;;61.45;2641899;2455;31.6795;77.77;2571003;567239;184914;;NA;NA;NA;NA;NA;;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;;1330.59;360274;14384;162;23.3;NA;96894;23180;;NA;NA;NA;NA;NA;NA;NA;NA;
